Ticker,Date,signals,short avg,long avg,short vol,long vol,positions
OCUL,2019-06-24,0,4.4,4.418,0.099,0.1013,-1.0
OCUL,2019-06-25,0,4.37,4.414,0.1414,0.1078,0.0
OCUL,2019-06-26,0,4.255,4.366,0.0212,0.1234,0.0
OCUL,2019-06-27,0,4.25,4.314,0.0141,0.0934,0.0
OCUL,2019-06-28,1,4.34,4.332,0.1131,0.1052,1.0
OCUL,2019-07-01,1,4.46,4.338,0.0566,0.1154,0.0
OCUL,2019-07-02,1,4.625,4.434,0.1768,0.2076,0.0
OCUL,2019-07-03,1,4.75,4.536,0.0,0.2136,0.0
OCUL,2019-07-05,1,4.72,4.622,0.0424,0.1525,0.0
OCUL,2019-07-08,1,4.955,4.782,0.3748,0.2655,0.0
OCUL,2019-07-09,1,5.185,4.912,0.0495,0.2516,0.0
OCUL,2019-07-10,1,5.13,4.984,0.0283,0.2451,0.0
OCUL,2019-07-11,1,5.215,5.098,0.1485,0.2416,0.0
OCUL,2019-07-12,1,5.24,5.192,0.1131,0.0817,0.0
OCUL,2019-07-15,0,5.165,5.182,0.0071,0.0804,-1.0
OCUL,2019-07-16,1,5.24,5.214,0.099,0.095,1.0
OCUL,2019-07-17,1,5.255,5.232,0.0778,0.0773,0.0
OCUL,2019-07-18,0,4.995,5.126,0.2899,0.1971,-1.0
OCUL,2019-07-19,0,4.79,5.052,0.0,0.2448,0.0
OCUL,2019-07-22,0,4.63,4.912,0.2263,0.3415,0.0
OCUL,2019-07-23,0,4.47,4.744,0.0,0.301,0.0
OCUL,2019-07-24,0,4.44,4.586,0.0424,0.1878,0.0
OCUL,2019-07-25,0,4.515,4.552,0.1485,0.154,0.0
OCUL,2019-07-26,1,4.555,4.492,0.0919,0.0776,1.0
OCUL,2019-07-29,1,4.695,4.578,0.2899,0.1956,0.0
OCUL,2019-07-30,1,4.775,4.614,0.1768,0.1872,0.0
OCUL,2019-07-31,1,4.725,4.692,0.1061,0.1602,0.0
OCUL,2019-08-01,1,4.73,4.7,0.099,0.1567,0.0
OCUL,2019-08-02,1,4.785,4.784,0.1768,0.1254,0.0
OCUL,2019-08-05,1,4.83,4.754,0.1131,0.1074,0.0
OCUL,2019-08-06,0,4.715,4.76,0.0495,0.1007,-1.0
OCUL,2019-08-07,0,4.6,4.704,0.1131,0.1422,0.0
OCUL,2019-08-08,0,4.26,4.572,0.3677,0.3491,0.0
OCUL,2019-08-09,0,4.075,4.42,0.1061,0.3301,0.0
OCUL,2019-08-12,0,4.23,4.332,0.1131,0.274,0.0
OCUL,2019-08-13,1,4.28,4.246,0.0424,0.193,1.0
OCUL,2019-08-14,1,4.37,4.24,0.1697,0.1825,0.0
OCUL,2019-08-15,1,4.375,4.292,0.1626,0.125,0.0
OCUL,2019-08-16,0,4.25,4.31,0.0141,0.1042,-1.0
OCUL,2019-08-19,1,4.365,4.346,0.1768,0.1316,1.0
OCUL,2019-08-20,1,4.555,4.42,0.0919,0.1642,0.0
OCUL,2019-08-21,1,4.65,4.458,0.0424,0.202,0.0
OCUL,2019-08-22,1,4.65,4.53,0.0424,0.1764,0.0
OCUL,2019-08-23,1,4.655,4.62,0.0495,0.0797,0.0
OCUL,2019-08-26,0,4.555,4.606,0.1909,0.109,-1.0
OCUL,2019-08-27,0,4.265,4.504,0.2192,0.2456,0.0
OCUL,2019-08-28,0,4.01,4.35,0.1414,0.3334,0.0
OCUL,2019-08-29,0,3.95,4.224,0.0566,0.3248,0.0
OCUL,2019-08-30,0,4.06,4.112,0.099,0.1942,0.0
OCUL,2019-09-03,1,4.215,4.088,0.1202,0.1487,1.0
OCUL,2019-09-04,1,4.28,4.118,0.0283,0.1681,0.0
OCUL,2019-09-05,1,4.25,4.184,0.0141,0.1254,0.0
OCUL,2019-09-06,1,4.365,4.284,0.1768,0.1313,0.0
OCUL,2019-09-09,1,4.435,4.334,0.0778,0.1024,0.0
OCUL,2019-09-10,0,4.325,4.328,0.0778,0.1057,-1.0
OCUL,2019-09-11,0,4.37,4.37,0.1414,0.1134,0.0
OCUL,2019-09-12,1,4.52,4.436,0.0707,0.1148,1.0
OCUL,2019-09-13,1,4.495,4.422,0.1061,0.1108,0.0
OCUL,2019-09-16,0,4.425,4.432,0.0071,0.1083,-1.0
OCUL,2019-09-17,0,4.39,4.448,0.0566,0.0807,0.0
OCUL,2019-09-18,0,4.335,4.418,0.0212,0.0968,0.0
OCUL,2019-09-19,0,4.3,4.36,0.0283,0.0644,0.0
OCUL,2019-09-20,0,4.27,4.328,0.0141,0.0669,0.0
OCUL,2019-09-23,0,4.185,4.264,0.1061,0.0929,0.0
OCUL,2019-09-24,0,4.09,4.208,0.0283,0.1108,0.0
OCUL,2019-09-25,0,3.935,4.104,0.1909,0.193,0.0
OCUL,2019-09-26,0,3.745,3.986,0.0778,0.2344,0.0
OCUL,2019-09-27,0,3.5,3.796,0.2687,0.3245,0.0
OCUL,2019-09-30,0,3.265,3.618,0.0636,0.3521,0.0
OCUL,2019-10-01,0,3.135,3.414,0.1202,0.3186,0.0
OCUL,2019-10-02,0,2.995,3.242,0.0778,0.2889,0.0
OCUL,2019-10-03,0,3.025,3.126,0.1202,0.1443,0.0
OCUL,2019-10-04,1,3.08,3.074,0.0424,0.1021,1.0
OCUL,2019-10-07,1,3.125,3.07,0.1061,0.0951,0.0
