Date,ticker,stock,holdings,cash,total,returns
2019-12-02,NGM,495.6,495.6,2575.35,3070.95,0.0
2019-12-03,NGM,0.0,0.0,3092.55,3092.55,0.007
2019-12-04,NGM,519.0,519.0,2573.55,3092.55,0.0
2019-12-05,NGM,0.0,0.0,3076.35,3076.35,-0.0052
2019-12-06,NGM,0.0,0.0,3076.35,3076.35,0.0
2019-12-09,NGM,0.0,0.0,3076.35,3076.35,0.0
2019-12-10,NGM,0.0,0.0,3076.35,3076.35,0.0
2019-12-11,NGM,0.0,0.0,3076.35,3076.35,0.0
2019-12-12,NGM,517.2,517.2,2559.15,3076.35,0.0
2019-12-13,NGM,0.0,0.0,3105.15,3105.15,0.0094
2019-12-16,NGM,0.0,0.0,3105.15,3105.15,0.0
2019-12-17,NGM,0.0,0.0,3105.15,3105.15,0.0
2019-12-18,NGM,0.0,0.0,3105.15,3105.15,0.0
2019-12-19,NGM,0.0,0.0,3105.15,3105.15,0.0
2019-12-20,NGM,0.0,0.0,3105.15,3105.15,0.0
2019-12-23,NGM,0.0,0.0,3105.15,3105.15,0.0
2019-12-24,NGM,576.0,576.0,2529.15,3105.15,0.0
2019-12-26,NGM,0.0,0.0,3115.05,3115.05,0.0032
2019-12-27,NGM,590.4,590.4,2524.65,3115.05,0.0
2019-12-30,NGM,0.0,0.0,3079.05,3079.05,-0.0116
2019-12-31,NGM,0.0,0.0,3079.05,3079.05,0.0
2020-01-02,NGM,0.0,0.0,3079.05,3079.05,0.0
2020-01-03,NGM,0.0,0.0,3079.05,3079.05,0.0
2020-01-06,NGM,0.0,0.0,3079.05,3079.05,0.0
2020-01-07,NGM,0.0,0.0,3079.05,3079.05,0.0
2020-01-08,NGM,0.0,0.0,3079.05,3079.05,0.0
2020-01-09,NGM,0.0,0.0,3079.05,3079.05,0.0
2020-01-10,NGM,0.0,0.0,3079.05,3079.05,0.0
2020-01-13,NGM,0.0,0.0,3079.05,3079.05,0.0
2020-01-14,NGM,569.7,569.7,2509.35,3079.05,-0.0
2020-01-15,NGM,0.0,0.0,3089.85,3089.85,0.0035
2020-01-16,NGM,0.0,0.0,3089.85,3089.85,0.0
2020-01-17,NGM,0.0,0.0,3089.85,3089.85,0.0
2020-01-21,NGM,0.0,0.0,3089.85,3089.85,0.0
2020-01-22,NGM,0.0,0.0,3089.85,3089.85,0.0
2020-01-23,NGM,0.0,0.0,3089.85,3089.85,0.0
2020-01-24,NGM,0.0,0.0,3089.85,3089.85,0.0
2020-01-27,NGM,0.0,0.0,3089.85,3089.85,0.0
2020-01-28,NGM,0.0,0.0,3089.85,3089.85,0.0
2020-01-29,NGM,0.0,0.0,3089.85,3089.85,0.0
2020-01-30,NGM,0.0,0.0,3089.85,3089.85,0.0
2020-01-31,NGM,0.0,0.0,3089.85,3089.85,0.0
2020-02-03,NGM,0.0,0.0,3089.85,3089.85,0.0
2020-02-04,NGM,0.0,0.0,3089.85,3089.85,0.0
2020-02-05,NGM,0.0,0.0,3089.85,3089.85,0.0
2020-02-06,NGM,0.0,0.0,3089.85,3089.85,0.0
